Artist,Producer,weight
Lupe Fiasco,MoeZ'art,3
Lupe Fiasco,Mr Inkredible,1
Lupe Fiasco,Jack LNDN,1
Lupe Fiasco,Menace (UK),1
Lupe Fiasco,Nottz,1
Lupe Fiasco,Le Messie,2
Lupe Fiasco,Infamous,1
Lupe Fiasco,Mr. Lee,1
Lupe Fiasco,Chris&Drop,4
Lupe Fiasco,Chris Goss,2
Lupe Fiasco,UNKLE,3
Lupe Fiasco,DJ Absolut,1
Lupe Fiasco,Al Shux,2
Lupe Fiasco,Severe,1
Lupe Fiasco,Needlz,5
Lupe Fiasco,The Neptunes,3
Lupe Fiasco,Stoupe The Enemy of Mankind,1
Lupe Fiasco,Brandon Howard,3
Lupe Fiasco,Ty Dolla $ign,3
Lupe Fiasco,"Dernst ""D'Mile"" Emile II",1
Lupe Fiasco,The Weeknd,1
Lupe Fiasco,Teklun,1
Lupe Fiasco,Mr. Inkredible,1
Lupe Fiasco,Floss & Flame,1
